Datetime,Open,High,Low,Close,Volume,sentiment
2025-05-21 13:00:00+00:00,3308.41,3313.43,3307.05,3313.41,0,0.0
2025-05-21 14:00:00+00:00,3313.42,3318.13,3308.58,3311.71,0,0.0
2025-05-21 15:00:00+00:00,3311.84,3316.31,3306.47,3311.12,0,0.0
2025-05-21 16:00:00+00:00,3311.14,3312.63,3290.73,3302.56,0,0.0
2025-05-21 17:00:00+00:00,3302.64,3309.5,3295.37,3303.52,0,0.0
2025-05-21 18:00:00+00:00,3303.43,3307.65,3295.27,3304.3,0,0.0
2025-05-21 19:00:00+00:00,3304.33,3315.11,3303.54,3311.86,0,0.0
2025-05-21 20:00:00+00:00,3311.89,3314.53,3302.68,3303.04,0,0.0
2025-05-21 21:00:00+00:00,3303.03,3316.28,3302.73,3316.27,0,0.0
2025-05-21 22:00:00+00:00,3316.28,3316.38,3311.91,3314.32,0,0.0
