Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Price_change,VWAP,RSI_16,BBL_14_2.0,BBM_14_2.0,BBU_14_2.0,ATRr_7,VWAPSignal,TotalSignal,BTC_Close,BTC_Price_change,ETH_BTC_corr_3h,hour_of_day,day_of_week
2025-04-19 00:00:00,1588.727294921875,1589.7666015625,1586.051025390625,1586.76611328125,0,0.0,0.0,0.0,,,,,,,0,0,84444.53125,0.0,0.0,0,5
2025-04-19 01:00:00,1586.4437255859375,1590.025634765625,1586.4437255859375,1589.67431640625,0,0.0,0.0,0.0018327862566880349,,,,,,,0,0,84541.59375,0.0011494231605435612,1.0,1,5
2025-04-19 02:00:00,1589.6300048828125,1595.0048828125,1587.93408203125,1591.9073486328125,68978688,0.0,0.0,0.001404710514296248,1591.6154378255208,,,,,,0,0,84750.421875,0.0024701228796033536,0.7047347388899932,2,5
2025-04-19 03:00:00,1592.0335693359375,1599.1375732421875,1591.842041015625,1598.1240234375,93229056,0.0,0.0,0.0039051737590296565,1594.3469080690131,,,,,,0,0,84887.9453125,0.001622687350192109,-0.3172967829340875,3,5
2025-04-19 04:00:00,1597.9129638671875,1610.8897705078125,1597.2646484375,1603.292724609375,0,0.0,0.0,0.0032342303200958433,1594.3469080690131,,,,,,0,0,85010.046875,0.0014383851800217062,-0.9087681117287028,4,5
2025-04-19 05:00:00,1603.3011474609375,1605.075927734375,1601.4560546875,1602.339599609375,544302080,0.0,0.0,-0.0005944797137604763,1600.980356590319,,,,,,0,0,85070.671875,0.0007131510007181152,0.9985314413481859,5,5
2025-04-19 06:00:00,1602.2208251953125,1602.4703369140625,1595.8804931640625,1596.4371337890625,2507264,0.0,0.0,-0.0036836547144883935,1600.9707461078322,,,,,,0,0,84933.203125,-0.0016159358680273295,0.9372963262964408,6,5
2025-04-19 07:00:00,1596.41162109375,1603.0992431640625,1596.41162109375,1600.93212890625,0,0.0,0.0,0.002815641795125945,1600.9707461078322,,,,,6.924386160714286,0,0,85202.8046875,0.0031742775802676704,0.9999207492454422,7,5
2025-04-19 08:00:00,1600.857666015625,1604.54052734375,1598.982177734375,1602.529296875,0,0.0,0.0,0.0009976487696834457,1600.9707461078322,,,,,6.7292380819515305,0,0,85297.4453125,0.0011107688924927306,0.9857011931555276,8,5
2025-04-19 09:00:00,1602.484619140625,1605.500244140625,1598.0528564453125,1598.5823974609375,0,0.0,0.0,-0.0024629187258911056,1600.9707461078322,,,,,6.831830883860241,0,0,85355.8984375,0.0006852857642551946,0.8572591711904768,9,5
2025-04-19 10:00:00,1598.2630615234375,1599.86083984375,1594.9884033203125,1596.7083740234375,668134400,0.0,0.0,-0.001172303311031464,1599.1344889141412,,,,,6.551917403799849,0,0,85229.8828125,-0.0014763552057538432,0.2951648051809769,10,5
2025-04-19 11:00:00,1596.5841064453125,1597.7325439453125,1595.2874755859375,1596.1968994140625,0,0.0,0.0,-0.00032033063626146774,1599.1344889141412,,,,,5.965224683167728,0,0,85216.390625,-0.00015830348528911298,-0.492708499938237,11,5
2025-04-19 12:00:00,1596.5888671875,1598.4464111328125,1595.9278564453125,1597.0418701171875,0,0.0,0.0,0.0005293649570645709,1599.1344889141412,,,,,5.472843255215196,0,0,85289.1875,0.000854259074646091,0.997206727861463,12,5
2025-04-19 13:00:00,1596.988037109375,1604.7149658203125,1595.7237548828125,1604.4837646484375,31753216,0.0,0.0,0.004659799264188358,1599.1909755881102,,1587.418847052886,1597.5011422293526,1607.5834374058193,5.97546720982731,0,0,85463.9296875,0.002048819933945234,0.9505262579411036,13,5
2025-04-19 14:00:00,1604.3330078125,1607.026123046875,1603.692626953125,1605.8111572265625,0,0.0,0.0,0.0008273019692510708,1599.1909755881102,,1589.85845941482,1598.8615025111608,1607.8645456075017,5.5980427646734086,0,0,85378.6953125,-0.0009973140167045536,0.7569239513289181,14,5
2025-04-19 15:00:00,1605.785888671875,1611.249755859375,1603.718505859375,1606.4755859375,0,0.0,0.0,0.0004137651603348669,1599.1909755881102,,1591.8310129592328,1600.0615931919642,1608.2921734246956,5.874215226862922,0,0,85185.265625,-0.0022655498165206067,0.9797493034463163,15,5
2025-04-19 16:00:00,1606.355712890625,1610.2000732421875,1598.962890625,1599.561279296875,0,0.0,0.0,-0.0043040222342314305,1599.1909755881102,62.070966939521945,1593.7075217677823,1600.6083025251116,1607.509083282441,6.640353425480718,0,0,84830.2578125,-0.004167479080981029,0.9440472067229233,16,5
2025-04-19 17:00:00,1599.5135498046875,1624.392578125,1599.5135498046875,1618.246826171875,969332224,0.0,0.0,0.011681669915899473,1605.247683190286,72.43655879279098,1590.799119563281,1602.045645577567,1613.292171591853,9.245878410456687,0,0,85210.2734375,0.004479717907258429,0.9967644256627448,17,5
2025-04-19 18:00:00,1618.1285400390625,1621.3111572265625,1614.781982421875,1614.781982421875,0,0.0,0.0,-0.002141109560026999,1605.247683190286,68.7218583840721,1589.8396803045212,1602.8663068498884,1615.8929333952556,8.857777895346803,0,0,85128.328125,-0.0009616834824512921,0.9688122386148246,18,5
2025-04-19 19:00:00,1614.73779296875,1617.337646484375,1613.58251953125,1614.50439453125,708599296,0.0,0.0,-0.00017190425311075508,1607.5188648852416,68.42200609240625,1589.4071962683531,1603.7352207728795,1618.063245277406,8.128827760743688,0,0,85087.8359375,-0.00047566055145054076,0.9986859354949642,19,5
2025-04-19 20:00:00,1614.5498046875,1616.3714599609375,1611.9730224609375,1614.98486328125,0,0.0,0.0,0.0002975951949264477,1607.5188648852416,68.67435754950948,1590.254242640602,1605.06005859375,1619.865874546898,7.595914866351732,0,0,85200.625,0.0013255603607411626,0.7889484885824062,20,5
2025-04-19 21:00:00,1614.44970703125,1620.9619140625,1614.44970703125,1620.0787353515625,0,0.0,0.0,0.0031541299154735913,1607.5188648852416,71.2706778578736,1589.956240772489,1606.4276733398438,1622.8991059071984,7.441099461337198,0,0,85317.46875,0.0013713954563125963,0.6257836427036282,21,5
2025-04-19 22:00:00,1620.602294921875,1620.97265625,1616.434326171875,1618.367919921875,0,0.0,0.0,-0.0010560075830612359,1607.5188648852416,69.21551801352616,1590.1641623320882,1607.5590035574776,1624.953844782867,7.026418120878312,0,0,85245.7890625,-0.0008401525332407678,0.7591954977663179,22,5
2025-04-19 23:00:00,1618.788818359375,1619.9058837890625,1613.7952880859375,1613.7952880859375,0,0.0,0.0,-0.002825458772167333,1607.5188648852416,63.95754556584625,1591.7356864858089,1608.6456386021205,1625.555590718432,6.895586346913554,0,0,85095.8203125,-0.0017592511213667672,0.9999967439719315,23,5
2025-04-20 00:00:00,1613.12060546875,1614.3502197265625,1609.14794921875,1610.443603515625,184620032,0.0,0.0,-0.0020768957469741167,1611.3139241536455,60.37183807082931,1594.0605395529547,1609.6267264229912,1625.1929132930277,6.653684084184832,0,0,85168.6328125,0.0008556530712391375,0.26204094752867824,0,6
2025-04-20 01:00:00,1610.0810546875,1618.418212890625,1610.0810546875,1616.7490234375,51426816,0.0,0.0,0.003915331097661623,1612.1350298709206,64.37926443930188,1597.071613874679,1611.094735281808,1625.1178566889369,6.89418038689057,0,0,85274.5390625,0.001243488905512402,0.677301504941437,1,6
2025-04-20 02:00:00,1617.2071533203125,1618.295166015625,1613.7503662109375,1615.8565673828125,0,0.0,0.0,-0.0005520065525012052,1612.1350298709206,63.41114538108235,1600.6285425292238,1612.4386422293526,1624.2487419294814,6.558554589432989,0,0,85224.234375,-0.0005899145049981236,0.4602936774250468,2,6
2025-04-20 03:00:00,1615.8690185546875,1615.8690185546875,1610.3375244140625,1611.036865234375,528157696,0.0,0.0,-0.0029827536959199374,1612.3281563572245,58.35603525902362,1601.9029276339204,1612.9067208426338,1623.9105140513473,6.411831668174705,0,0,85151.6875,-0.0008512470136227135,0.9713284296070673,3,6
2025-04-20 04:00:00,1611.3419189453125,1616.816650390625,1611.068603515625,1614.2498779296875,0,0.0,0.0,0.001994375650022695,1612.3281563572245,60.59007841681105,1603.22548233672,1613.509486607143,1623.7934908775658,6.321539309328318,0,0,85175.5859375,0.00028065723888315297,0.9588476530591343,4,6
2025-04-20 05:00:00,1614.2764892578125,1615.5560302734375,1609.96044921875,1609.96044921875,0,0.0,0.0,-0.002657227217163438,1612.3281563572245,56.28990711020288,1604.0128560526507,1613.7584054129463,1623.503954773242,6.2178309872367725,0,0,85096.34375,-0.0009303392119679454,0.9931756070376595,5,6
2025-04-20 06:00:00,1609.9521484375,1612.0579833984375,1603.551025390625,1605.32861328125,0,0.0,0.0,-0.0028769874065835976,1612.3281563572245,52.03615770950808,1606.6197249178167,1614.1703578404017,1621.7209907629867,6.5448491330333045,0,0,84946.890625,-0.0017562813913494235,0.9305295401751492,6,6
2025-04-20 07:00:00,1605.3314208984375,1605.3314208984375,1592.1287841796875,1596.52099609375,946957312,0.0,0.0,-0.0054864886320673545,1604.3954840163387,45.120282269560384,1601.145445534526,1612.6185128348213,1624.0915801351166,7.495961645278547,0,0,84786.0546875,-0.0018933705085217856,0.6634545837338857,7,6
2025-04-20 08:00:00,1596.527099609375,1596.8592529296875,1587.8094482421875,1589.73876953125,0,0.0,0.0,-0.004248128636638149,1604.3954840163387,40.67949396968301,1594.4877048054934,1610.8297119140625,1627.1717190226316,7.717939222738755,0,0,84642.2734375,-0.0016958124839036026,0.655249860496227,8,6
2025-04-20 09:00:00,1589.750244140625,1592.974609375,1589.32373046875,1591.181640625,758461952,0.0,0.0,0.0009076152141496152,1600.3306479275054,41.975431726420545,1590.12696468833,1609.1638009207588,1628.2006371531877,7.136930606097503,0,0,84521.515625,-0.0014266844166133108,0.9684975919438804,9,6
