Date,daily_returns,realized_volatility
2023-07-09,-0.06906671929434603,-0.8447099196155253
2023-07-10,0.24727483981390014,-0.8403100800648852
2023-07-11,-0.06391752236886007,-1.1621609205196946
2023-07-12,-0.12651293519007675,-1.1720053615376167
2023-07-13,2.0784971921763047,-0.6621064112394219
2023-07-14,-1.0120342283453083,-0.5575505935558197
2023-07-15,-0.14855708831071557,-0.5663893009557435
2023-07-16,-0.14758721894886634,-0.6111267193826873
2023-07-17,-0.2129485551652467,-0.6256939534473928
2023-07-18,-0.24499293941318032,-0.7263882836578737
2023-07-19,-0.1621797794549375,-0.7355252499968071
2023-07-20,0.0012295347577426293,-0.9258270260078045
2023-07-21,-0.012003058443876087,-0.9270656202254938
2023-07-22,-0.4508258302849473,-0.9152530300057984
2023-07-23,0.35298837962096585,-0.9052017532619363
2023-07-24,-0.6383038707417761,-0.8742561012294984
2023-07-25,0.09358214779706107,-0.8851654157060911
2023-07-26,0.19861278857058617,-0.9892416958041351
2023-07-27,-0.21434934674648362,-0.9989812451537833
2023-07-28,0.19781468589254741,-0.9935711688086656
2023-07-29,0.06978678818966585,-0.9930898077626413
2023-07-30,-0.3324438376255647,-0.990368353311416
2023-07-31,-0.11570105358207625,-0.9897099189216624
2023-08-01,0.21797446874392995,-0.9828295309487314
2023-08-02,-0.5422098963351599,-1.7151922403176905
2023-08-03,-0.0923642479161492,-1.9109797296245947
2023-08-04,-0.14802189415257866,-1.910991766384245
2023-08-05,0.08761291990663568,-1.9011699206342427
2023-08-06,-0.14966825185195132,-1.904243203695781
2023-08-07,-0.03765815264149993,-1.9104415550403817
2023-08-08,0.4346856748552408,-1.8432646283107337
2023-08-09,-0.053138058700269816,-1.8441045458313716
2023-08-10,-0.08536978202589839,-1.8444841836678398
2023-08-11,-0.08682312464514208,-1.8873285769354644
2023-08-12,-0.0011896186289001574,-1.9334230619427633
2023-08-13,-0.18185440494249397,-2.0389353943693838
2023-08-14,0.049055722764674105,-2.042330134238754
2023-08-15,-0.3039284336394175,-2.042038235079193
2023-08-16,-0.3711370412054696,-2.0179520760796925
2023-08-17,-1.9922645935194976,-1.2972183137472484
2023-08-18,-0.4472541146181365,-1.2981785212021053
2023-08-19,0.12147522571318096,-1.2853236772330492
2023-08-20,0.2412306835320755,-1.259110822557123
2023-08-21,-0.33565391019583857,-1.2798547867949503
2023-08-22,-0.6170043902289493,-1.2710214948566951
2023-08-23,0.7862362838129482,-1.136262321574507
2023-08-24,-0.3672129030440835,-1.1302844869279558
2023-08-25,-0.15323319603519003,-1.1396291642317602
2023-08-26,-0.14698744296736904,-1.1396072443972285
2023-08-27,0.1706006169291805,-1.1257245845502521
2023-08-28,-0.11880557209609496,-1.1787808923448613
2023-08-29,1.3436211452847469,-0.8843717064509464
2023-08-30,-0.4470404953791762,-0.872921995461756
2023-08-31,-1.0533149684588083,-0.7823575876354842
2023-09-01,-0.3351929751400807,-0.7847378957735331
2023-09-02,0.12461109507566187,-0.7728259633249261
2023-09-03,-0.045532428300570554,-0.7770311387355362
2023-09-04,-0.14522065180357002,-0.778151797140129
2023-09-05,0.042346173590495875,-0.7767790747359291
2023-09-06,-0.05400179919707944,-1.226697556265481
2023-09-07,0.24678359486526139,-1.2361883283435635
2023-09-08,-0.23347785102707158,-1.2351233105912505
2023-09-09,-0.04675700508073643,-1.2489330413766997
2023-09-10,-0.3584403334755449,-1.247023481505798
2023-09-11,-1.2130681303701656,-1.1048285175544843
2023-09-12,0.7426126388925262,-1.1152214781926197
2023-09-13,0.25761624743376343,-1.109716108316815
2023-09-14,0.31740956844570783,-1.0915050657643737
2023-09-15,0.23540908142072167,-1.082974591861046
2023-09-16,-0.14404893694207774,-1.0872038649957994
2023-09-17,-0.25054562070231096,-1.0823116772346695
2023-09-18,0.23217181088760916,-1.368866096000165
2023-09-19,0.08188089549425534,-1.3846110710117077
2023-09-20,-0.3982157722682665,-1.5394077567518358
2023-09-21,-0.7272808946136204,-1.4705621345815743
2023-09-22,0.1368175659208023,-1.469697297865988
2023-09-23,-0.018389765295276018,-1.4693704036113513
2023-09-24,-0.26880456308476525,-1.4632139414874068
2023-09-25,0.1094736828707551,-1.4597367681765732
2023-09-26,0.06491703939418289,-1.456770378093688
2023-09-27,0.04581439012793296,-1.4720776190443492
2023-09-28,0.9887853257222148,-1.3003703461367406
2023-09-29,0.23827952698991386,-1.291513474536311
2023-09-30,0.027393163749206646,-1.3132094853969514
2023-10-01,1.0714044978101145,-1.4273576860082084
2023-10-02,-1.2177242397898902,-1.223088610469548
2023-10-03,-0.15176522223057226,-1.226015000965836
2023-10-04,-0.1860508352046644,-1.2349766084323175
2023-10-05,-0.6771241117795602,-1.1835647819801791
2023-10-06,0.5966788804166703,-1.1289346032439362
2023-10-07,-0.23119715826746098,-1.130154724531862
2023-10-08,-0.046544190015104694,-1.1390349914676245
2023-10-09,-0.9951714963895154,-1.0222222143281505
2023-10-10,-0.2540088710819345,-1.0315513274785544
2023-10-11,-0.05656269817097065,-1.091306509403035
2023-10-12,-0.5286763119796787,-1.0665156045699011
2023-10-13,0.20868342065338655,-1.0565844038039163
2023-10-14,0.030663128937199694,-1.0616457487029836
2023-10-15,0.02385128856218029,-1.0643194271862313
2023-10-16,0.7709470443153095,-0.9810860167181389
2023-10-17,-0.6730306978157534,-0.9310010564554276
2023-10-18,-0.06094317709539058,-1.0778479325474108
2023-10-19,0.04035129067401124,-1.0912329930899307
2023-10-20,0.6677295267413603,-1.0152681529771581
2023-10-21,0.42153564687567435,-1.1646439965842457
