Datetime,daily_returns,realized_volatility,volume_ratio,rsi
2023-07-09 20:00:00,-0.24017412943899355,-0.9274495806832354,-0.35376733312777847,-0.3313248650116731
2023-07-10 00:00:00,-0.04146660755199485,-0.9273749097025253,0.04288349324590174,-0.20205300226729717
2023-07-10 04:00:00,-0.2559849256773799,-0.9258591192383877,-0.3726895896903232,-0.33404068629762884
2023-07-10 08:00:00,0.323829689785899,-0.9244276148234647,0.05716128925422115,-0.1903671890780304
2023-07-10 12:00:00,0.27942454003061534,-0.9233270916371428,-0.5755381729522884,-0.19538684798236708
2023-07-10 16:00:00,1.0972827405709085,-0.9863771898724676,0.6406741028824029,0.25243738660939863
2023-07-10 20:00:00,-0.7757717280886911,-0.9762012593413807,0.43104452261065473,0.08603059591051741
2023-07-11 00:00:00,-0.0188085730299738,-0.9870018177672641,-0.5903952692529325,-0.007470910401175678
2023-07-11 04:00:00,0.11083544794353292,-0.98694201951402,-0.26535984524300416,-0.0072974389337133886
2023-07-11 08:00:00,-0.5922904088905979,-0.9897530421862718,-0.46997470368146427,-0.1603688865625293
2023-07-11 12:00:00,0.12793341048053739,-1.003801187900918,-0.3164907208871217,-0.058332144144426216
2023-07-11 16:00:00,0.09781264589528184,-1.0357382049179518,-0.5404767179110305,-0.22562919830171355
2023-07-11 20:00:00,0.13349254119274057,-1.0375813753265972,-0.5964035122217358,-0.14942053119776827
2023-07-12 00:00:00,0.08267095834639668,-1.0609326619110215,-0.28609022295589226,0.042848010575658235
2023-07-12 04:00:00,0.4033154145876947,-1.0587300593389029,-0.3120296049639414,0.2496199094672783
2023-07-12 08:00:00,-0.0592215325923926,-1.0772195509988045,-0.49080865246709937,0.15710113445788793
2023-07-12 12:00:00,-0.29024000819260737,-1.0782269138491725,1.0538467879769204,0.11875862918064115
2023-07-12 16:00:00,-0.4768266348714576,-1.0795415169013505,0.2815642296631949,0.238857724320439
2023-07-12 20:00:00,0.03276770306608804,-1.0902898081448023,-0.1854942394225051,0.2890697355803515
2023-07-13 00:00:00,-0.2040822814638573,-1.0925383302587939,-0.5217995657338118,0.17871874800628262
2023-07-13 04:00:00,0.10900011902191939,-1.0922070201068492,-0.522153581364114,0.11519062752724078
2023-07-13 08:00:00,0.5212347937930235,-1.0860257474707682,-0.29734879131323866,0.05622389348630173
2023-07-13 12:00:00,1.9335206668024922,-1.0471075078136056,1.1504918601964051,0.581559310045674
2023-07-13 16:00:00,2.4254708900296076,-0.9328751881965077,6.471895457961208,0.9639873270113667
2023-07-13 20:00:00,0.3879929034879625,-0.9329514857107644,0.7069801974750507,1.0734985169144993
2023-07-14 00:00:00,0.06043280002045168,-0.933114569789137,1.6601672412383566,0.9603735915285719
2023-07-14 04:00:00,-0.6824994994333409,-0.9282611841763384,0.014661280934631817,0.7060972585290106
2023-07-14 08:00:00,0.044472731415752025,-0.9296340928420341,0.16646909612270858,0.6903580869183271
2023-07-14 12:00:00,0.20449678285198744,-0.9396425579948546,0.010126182046954518,1.0867959081176155
2023-07-14 16:00:00,-3.1372500898737314,-0.7526882529346244,-0.33016482050148166,-0.1735963137251463
2023-07-14 20:00:00,0.9206512731184537,-0.7413165416759308,-0.5081262681010204,-0.020490245823489114
2023-07-15 00:00:00,-0.3056728048649065,-0.749421493674457,-0.5964035122217358,0.024747104870211048
2023-07-15 04:00:00,0.39169634878844994,-0.7538892284657868,-0.5964035122217358,0.10083482834011036
2023-07-15 08:00:00,-0.0713686659650828,-0.7547694279493412,-0.5964035122217358,0.06752114759343902
2023-07-15 12:00:00,-0.17689416092249916,-0.7814632164745797,-0.5964035122217358,0.03124043679621599
2023-07-15 16:00:00,-0.053385497997477244,-0.7821531446170694,-0.5964035122217358,0.0213011211269817
2023-07-15 20:00:00,-0.13974170414507117,-0.7831598840545281,-0.5964035122217358,-0.013132176626403536
2023-07-16 00:00:00,-0.3086975259182183,-0.7924099366498452,-0.14847498821045585,0.010370247791197754
2023-07-16 04:00:00,0.13184197658854957,-0.7958839808839319,-0.4961759092514067,0.02576022581046643
2023-07-16 08:00:00,0.21725445401962884,-0.7989910066260765,-0.5964035122217358,0.035136907930730384
2023-07-16 12:00:00,0.15470955842689676,-0.8002385493638232,-0.41710309456704425,0.07193378470977754
2023-07-16 16:00:00,-0.34454830895004757,-0.8301547632745617,-0.4772519974508489,0.045232591320622885
2023-07-16 20:00:00,-0.22017511910772122,-0.8292146217285818,-0.07507283251637877,-0.16860673011618704
2023-07-17 00:00:00,0.2970158256465505,-0.8322291057402599,-0.12086613843532026,-0.2012430203657918
2023-07-17 04:00:00,-0.08553548786496144,-0.8322522342475749,-0.5369324396889839,-0.35593719106355287
2023-07-17 08:00:00,-0.7216102181597137,-0.8231118160674762,0.7508642077647895,-0.4593224237963082
2023-07-17 12:00:00,-0.10346089783144682,-0.8263834085333184,0.12330915590471536,-0.521216820190542
2023-07-17 16:00:00,-0.8364919571015341,-0.8315855116626685,1.1919867887371756,-0.6658415082596668
2023-07-17 20:00:00,0.966863429593937,-0.8146828148083605,0.09603050285545571,-0.37772704386700423
2023-07-18 00:00:00,-0.1283349708662602,-0.8299701478970385,-0.5500773661648843,-0.4624531892665479
2023-07-18 04:00:00,-0.4139540623645797,-0.8346417293105394,-0.14915375657975546,-0.44319206533233907
2023-07-18 08:00:00,-0.19491232394087998,-0.8373416854228712,-0.3005966911818931,-0.5619583160319499
2023-07-18 12:00:00,0.09970465063142127,-0.8373892667493275,-0.2239109388295458,-0.48756041349282914
