Datetime,Open,High,Low,Close,Volume,sentiment
2024-07-01 02:00:00+00:00,2322.92,2325.55,2322.56,2324.39,0,0.0
2024-07-01 03:00:00+00:00,2324.39,2326.03,2323.0,2324.9,0,0.0
2024-07-01 04:00:00+00:00,2324.91,2325.22,2322.13,2324.79,0,0.0
2024-07-01 05:00:00+00:00,2324.79,2328.53,2323.52,2327.83,0,0.0
2024-07-01 06:00:00+00:00,2327.82,2327.82,2324.45,2326.53,0,0.0
2024-07-01 07:00:00+00:00,2326.52,2327.63,2324.35,2324.61,0,0.0
2024-07-01 08:00:00+00:00,2324.6,2325.96,2321.38,2323.54,0,0.0
2024-07-01 09:00:00+00:00,2323.55,2323.87,2318.4,2321.74,0,0.0
2024-07-01 10:00:00+00:00,2321.73,2328.92,2321.21,2326.42,0,0.0
2024-07-01 11:00:00+00:00,2326.43,2326.89,2323.59,2323.66,0,0.0
2024-07-01 12:00:00+00:00,2323.68,2326.16,2321.8,2325.73,0,0.0
2024-07-01 13:00:00+00:00,2325.72,2329.43,2325.36,2327.33,0,0.0
2024-07-01 14:00:00+00:00,2327.38,2332.41,2327.33,2332.38,0,0.0
2024-07-01 15:00:00+00:00,2332.58,2338.13,2331.99,2338.05,0,0.0
2024-07-01 16:00:00+00:00,2338.05,2338.39,2327.04,2327.25,0,0.0
2024-07-01 17:00:00+00:00,2327.24,2334.12,2325.36,2326.86,0,0.0
2024-07-01 18:00:00+00:00,2326.93,2334.11,2319.23,2323.9,0,0.0
2024-07-01 19:00:00+00:00,2323.96,2328.96,2322.93,2327.71,0,0.0
2024-07-01 20:00:00+00:00,2327.72,2331.81,2326.62,2328.09,0,0.0
2024-07-01 21:00:00+00:00,2328.13,2329.82,2326.67,2329.15,0,0.0
2024-07-01 22:00:00+00:00,2329.1,2330.63,2326.86,2329.79,0,0.0
2024-07-01 23:00:00+00:00,2329.86,2331.34,2328.86,2330.86,0,0.0
2024-07-02 00:00:00+00:00,2330.87,2332.26,2330.76,2331.26,0,0.0
2024-07-02 02:00:00+00:00,2331.45,2332.02,2331.07,2331.66,0,0.0
2024-07-02 03:00:00+00:00,2331.67,2332.54,2331.67,2332.22,0,0.0
2024-07-02 04:00:00+00:00,2332.16,2333.88,2331.74,2332.69,0,0.0
2024-07-02 05:00:00+00:00,2332.72,2334.08,2331.21,2333.9,0,0.0
2024-07-02 06:00:00+00:00,2333.93,2334.29,2331.2,2332.3,0,0.0
2024-07-02 07:00:00+00:00,2332.3,2332.61,2325.61,2325.9,0,0.0
2024-07-02 08:00:00+00:00,2325.91,2327.73,2324.76,2327.15,0,0.0
2024-07-02 09:00:00+00:00,2327.15,2330.78,2326.22,2329.9,0,0.0
2024-07-02 10:00:00+00:00,2329.9,2331.78,2327.57,2330.54,0,0.0
2024-07-02 11:00:00+00:00,2330.28,2330.86,2323.27,2330.72,0,0.0
2024-07-02 12:00:00+00:00,2330.75,2332.35,2328.35,2331.11,0,0.0
2024-07-02 13:00:00+00:00,2331.1,2331.77,2324.08,2324.8,0,0.0
2024-07-02 14:00:00+00:00,2324.83,2326.41,2322.75,2324.48,0,0.0
2024-07-02 15:00:00+00:00,2324.49,2325.6,2319.94,2320.6,0,0.0
2024-07-02 16:00:00+00:00,2320.6,2328.65,2319.11,2327.39,0,0.0
2024-07-02 17:00:00+00:00,2327.38,2336.72,2325.97,2334.32,0,0.0
2024-07-02 18:00:00+00:00,2334.19,2335.13,2322.94,2326.51,0,0.0
2024-07-02 19:00:00+00:00,2326.5,2330.36,2324.1,2324.62,0,0.0
2024-07-02 20:00:00+00:00,2324.58,2324.88,2320.88,2322.8,0,0.0
2024-07-02 21:00:00+00:00,2322.79,2325.13,2321.98,2324.54,0,0.0
2024-07-02 22:00:00+00:00,2324.51,2328.77,2324.39,2328.26,0,0.0
